sub,trial,uncertain_word,external,rt,user_id
1,1,predictable,10,6.498,16534
1,2,likely,12,4.217,16534
1,3,definite,12,2.047,16534
1,4,erratic,79,4.033,16534
1,5,ambiguous,78,1.738,16534
1,6,questionable,83,1.994,16534
1,7,doubtful,35,2.107,16534
1,8,improbable,33,1.397,16534
1,9,confident,18,52.861,16534
1,10,unknown,85,6.593,16534
1,11,uncertain,81,1.529,16534
1,12,vague,82,1.429,16534
1,13,possible,74,1.794,16534
1,14,frequent,13,2.372,16534
1,15,unexpected,73,2.859,16534
1,16,inevitable,12,2.116,16534
1,17,risky,76,2.832,16534
1,18,certain,10,5.13,16534
2,1,inevitable,82,11.114,17753
2,2,doubtful,51,11.439,17753
2,3,predictable,63,7.229,17753
2,4,questionable,44,4.562,17753
2,5,unexpected,83,4.498,17753
2,6,frequent,39,3.843,17753
2,7,confident,55,3.645,17753
2,8,improbable,100,5.528,17753
2,9,uncertain,100,2.784,17753
2,10,unknown,70,3.323,17753
2,11,risky,62,2.792,17753
2,12,definite,51,3.455,17753
2,13,ambiguous,60,4.259,17753
2,14,certain,61,2.987,17753
2,15,erratic,52,3.817,17753
2,16,possible,60,5.96,17753
2,17,likely,70,3.119,17753
2,18,vague,57,8.936,17753
4,1,definite,0,32.711,17805
4,2,doubtful,61,11.6,17805
4,3,vague,70,4.083,17805
4,4,likely,40,4.756,17805
4,5,frequent,41,2.406,17805
4,6,inevitable,3,7.369,17805
4,7,unexpected,92,3.634,17805
4,8,questionable,62,3.475,17805
4,9,predictable,42,2.545,17805
4,10,possible,100,4.992,17805
4,11,unknown,98,4.335,17805
4,12,improbable,40,6.582,17805
4,13,certain,0,3.707,17805
4,14,erratic,72,4.401,17805
4,15,uncertain,100,2.453,17805
4,16,risky,81,2.957,17805
4,17,ambiguous,100,2.642,17805
4,18,confident,10,4.594,17805
6,1,erratic,43,6.478,17542
6,2,ambiguous,47,3.18,17542
6,3,definite,51,4.278,17542
6,4,likely,40,5.548,17542
6,5,unexpected,72,3.857,17542
6,6,questionable,49,3.734,17542
6,7,improbable,61,3.515,17542
6,8,frequent,67,3.656,17542
6,9,inevitable,41,3.118,17542
6,10,uncertain,70,4.014,17542
6,11,doubtful,31,3.088,17542
6,12,confident,51,3.212,17542
6,13,predictable,60,3.935,17542
6,14,risky,50,3.626,17542
6,15,possible,37,3.618,17542
6,16,unknown,40,2.765,17542
6,17,certain,39,3.922,17542
6,18,vague,32,3.156,17542
8,1,certain,50,17.324,17778
8,2,risky,50,6.874,17778
8,3,definite,0,4.948,17778
8,4,predictable,17,6.266,17778
8,5,unknown,64,11.314,17778
8,6,doubtful,12,5.009,17778
8,7,likely,50,3.257,17778
8,8,ambiguous,35,6.056,17778
8,9,unexpected,80,3.911,17778
8,10,improbable,0,3.886,17778
8,11,questionable,0,4.16,17778
8,12,vague,30,5.669,17778
8,13,inevitable,81,3.712,17778
8,14,possible,50,4.054,17778
8,15,uncertain,50,4.36,17778
8,16,confident,0,3.264,17778
8,17,frequent,50,3.527,17778
8,18,erratic,30,4.254,17778
10,1,questionable,24,6.996,17814
10,2,likely,100,3.893,17814
10,3,uncertain,62,3.759,17814
10,4,unexpected,78,3.123,17814
10,5,certain,96,3.514,17814
10,6,unknown,79,2.944,17814
10,7,vague,74,2.411,17814
10,8,doubtful,19,2.344,17814
10,9,inevitable,100,4.066,17814
10,10,predictable,63,2.994,17814
10,11,improbable,1,5.722,17814
10,12,frequent,74,3.779,17814
10,13,possible,40,5.887,17814
10,14,risky,13,3.331,17814
10,15,confident,4,2.216,17814
10,16,ambiguous,77,3.531,17814
10,17,erratic,70,2.433,17814
10,18,definite,76,2.284,17814
11,1,risky,33,11.638,17889
11,2,likely,4,3.379,17889
11,3,improbable,65,4.762,17889
11,4,erratic,11,5.692,17889
11,5,unknown,84,3.73,17889
11,6,predictable,27,3.201,17889
11,7,certain,10,2.6,17889
11,8,ambiguous,66,2.96,17889
11,9,uncertain,27,4.136,17889
11,10,definite,22,4.294,17889
11,11,confident,15,2.606,17889
11,12,unexpected,72,3.856,17889
11,13,possible,69,3.105,17889
11,14,doubtful,18,5.519,17889
11,15,frequent,61,2.872,17889
11,16,vague,49,2.997,17889
11,17,questionable,15,3.535,17889
11,18,inevitable,33,3.692,17889
12,1,unexpected,31,7.452,17864
12,2,frequent,70,3.583,17864
12,3,unknown,19,4.659,17864
12,4,certain,21,3.186,17864
12,5,risky,80,2.981,17864
12,6,doubtful,25,3,17864
12,7,improbable,76,2.275,17864
12,8,erratic,90,6.026,17864
12,9,possible,73,2.683,17864
12,10,vague,89,2.826,17864
12,11,ambiguous,41,3.207,17864
12,12,confident,22,4.787,17864
12,13,likely,67,2.791,17864
12,14,definite,88,9.999,17864
12,15,inevitable,69,2.469,17864
12,16,predictable,29,2.265,17864
12,17,uncertain,40,4.137,17864
12,18,questionable,72,4.526,17864
13,1,ambiguous,33,18.686,17232
13,2,improbable,75,2.293,17232
13,3,vague,21,1.576,17232
13,4,frequent,52,3.497,17232
13,5,likely,64,2.078,17232
13,6,definite,88,2.226,17232
13,7,possible,54,2.195,17232
13,8,erratic,15,1.429,17232
13,9,certain,92,1.61,17232
13,10,unexpected,31,2.566,17232
13,11,predictable,100,1.783,17232
13,12,inevitable,100,2.082,17232
13,13,risky,40,2.019,17232
13,14,doubtful,10,1.475,17232
13,15,confident,36,4.725,17232
13,16,questionable,31,1.485,17232
13,17,unknown,14,1.601,17232
13,18,uncertain,3,1.677,17232
15,1,doubtful,4,6.66,17902
15,2,uncertain,15,2.326,17902
15,3,definite,100,2.048,17902
15,4,inevitable,100,1.85,17902
15,5,vague,29,2.09,17902
15,6,questionable,46,2.57,17902
15,7,possible,66,4.186,17902
15,8,unexpected,5,5.141,17902
15,9,risky,91,1.985,17902
15,10,confident,1,1.952,17902
15,11,likely,59,2.678,17902
15,12,predictable,100,2.119,17902
15,13,unknown,100,1.822,17902
15,14,certain,99,3.146,17902
15,15,improbable,74,3.29,17902
15,16,ambiguous,50,6.429,17902
15,17,erratic,40,2.537,17902
15,18,frequent,76,2.54,17902
16,1,possible,65,9.057,17666
16,2,inevitable,94,7.048,17666
16,3,risky,73,4.722,17666
16,4,ambiguous,22,3.244,17666
16,5,questionable,22,2.262,17666
16,6,vague,27,1.9,17666
16,7,uncertain,78,1.852,17666
16,8,unexpected,22,68.806,17666
16,9,erratic,30,2.345,17666
16,10,predictable,86,2.197,17666
16,11,confident,31,6.733,17666
16,12,doubtful,37,2.267,17666
16,13,definite,26,2.756,17666
16,14,improbable,72,1.846,17666
16,15,certain,28,1.858,17666
16,16,unknown,80,2.227,17666
16,17,frequent,35,1.64,17666
16,18,likely,25,1.735,17666
17,1,likely,32,6.893,17790
17,2,questionable,71,18.711,17790
17,3,predictable,30,8.101,17790
17,4,risky,81,2.338,17790
17,5,confident,12,3.408,17790
17,6,certain,40,3.965,17790
17,7,doubtful,26,2.695,17790
17,8,erratic,19,1.954,17790
17,9,uncertain,46,3.705,17790
17,10,ambiguous,83,8.81,17790
17,11,definite,95,2.755,17790
17,12,frequent,78,2.56,17790
17,13,unexpected,71,2.933,17790
17,14,vague,40,1.971,17790
17,15,inevitable,94,3.201,17790
17,16,improbable,74,5.879,17790
17,17,possible,60,1.94,17790
17,18,unknown,70,4.285,17790
18,1,erratic,45,12.989,17920
18,2,doubtful,79,4.523,17920
18,3,risky,56,4.386,17920
18,4,inevitable,76,2.484,17920
18,5,unexpected,78,2.733,17920
18,6,possible,76,1.673,17920
18,7,definite,58,2.587,17920
18,8,improbable,56,1.5,17920
18,9,unknown,50,2.567,17920
18,10,frequent,57,1.65,17920
18,11,likely,58,1.443,17920
18,12,confident,66,2.565,17920
18,13,vague,60,2.347,17920
18,14,questionable,56,1.276,17920
18,15,uncertain,64,1.36,17920
18,16,predictable,54,1.872,17920
18,17,certain,58,1.995,17920
18,18,ambiguous,66,1.881,17920
19,1,doubtful,66,11.493,17905
19,2,inevitable,35,7.694,17905
19,3,possible,25,3.304,17905
19,4,frequent,50,14.273,17905
19,5,vague,19,2.63,17905
19,6,predictable,32,29.353,17905
19,7,ambiguous,51,3.216,17905
19,8,confident,37,3.068,17905
19,9,uncertain,82,4.705,17905
19,10,unexpected,89,2.909,17905
19,11,definite,32,2.711,17905
19,12,questionable,78,3.101,17905
19,13,risky,77,6.395,17905
19,14,unknown,81,3.6,17905
19,15,erratic,83,4.167,17905
19,16,certain,34,13.029,17905
19,17,improbable,34,2.792,17905
19,18,likely,36,3.727,17905
20,1,risky,73,8.894,17857
20,2,likely,43,2.274,17857
20,3,possible,52,2.517,17857
20,4,frequent,41,4.964,17857
20,5,inevitable,17,3.133,17857
20,6,erratic,92,3.174,17857
20,7,unknown,63,4.102,17857
20,8,definite,58,4.487,17857
20,9,uncertain,55,2.444,17857
20,10,predictable,49,2.476,17857
20,11,unexpected,95,2.225,17857
20,12,certain,24,1.942,17857
20,13,doubtful,39,9.618,17857
20,14,improbable,28,6.819,17857
20,15,confident,27,3.458,17857
20,16,vague,100,2.933,17857
20,17,questionable,42,1.947,17857
20,18,ambiguous,55,3.829,17857
22,1,definite,61,11.02,17912
22,2,unexpected,88,2.613,17912
22,3,unknown,91,1.908,17912
22,4,certain,69,2.656,17912
22,5,inevitable,69,2.369,17912
22,6,confident,14,3.437,17912
22,7,possible,72,2.93,17912
22,8,doubtful,11,1.907,17912
22,9,erratic,58,3.242,17912
22,10,likely,75,3.073,17912
22,11,improbable,76,5.647,17912
22,12,frequent,61,25.747,17912
22,13,predictable,68,2.628,17912
22,14,ambiguous,73,3.294,17912
22,15,questionable,72,3.922,17912
22,16,risky,68,4.206,17912
22,17,uncertain,81,3.217,17912
22,18,vague,76,2.524,17912
23,1,risky,18,6.267,17899
23,2,frequent,43,1.351,17899
23,3,unknown,41,2.674,17899
23,4,definite,61,10.576,17899
23,5,possible,48,1.251,17899
23,6,erratic,50,1.929,17899
23,7,confident,76,2.802,17899
23,8,ambiguous,54,1.747,17899
23,9,questionable,50,2.253,17899
23,10,likely,62,2.125,17899
23,11,certain,75,4.096,17899
23,12,uncertain,43,2.729,17899
23,13,improbable,42,31.86,17899
23,14,doubtful,38,2.706,17899
23,15,vague,45,103.896,17899
23,16,inevitable,94,2.555,17899
23,17,predictable,51,1.898,17899
23,18,unexpected,41,2.716,17899
24,1,questionable,42,15.198,17749
24,2,unknown,7,3.765,17749
24,3,frequent,30,9.913,17749
24,4,doubtful,6,8.529,17749
24,5,certain,90,11.31,17749
24,6,possible,19,6.081,17749
24,7,likely,23,4.449,17749
24,8,improbable,91,7.984,17749
24,9,unexpected,39,5.887,17749
24,10,inevitable,97,5.383,17749
24,11,erratic,29,3.906,17749
24,12,ambiguous,5,5.022,17749
24,13,confident,2,4.248,17749
24,14,uncertain,3,4.004,17749
24,15,vague,22,13.4,17749
24,16,definite,93,6.785,17749
24,17,risky,62,12.073,17749
24,18,predictable,54,4.596,17749
25,1,questionable,20,9.94,17913
25,2,unexpected,30,6.126,17913
25,3,definite,80,4.934,17913
25,4,erratic,80,5.638,17913
25,5,predictable,0,4.896,17913
25,6,possible,0,2.62,17913
25,7,confident,0,6.534,17913
25,8,vague,0,2.111,17913
25,9,doubtful,0,1.225,17913
25,10,risky,2,1.408,17913
25,11,certain,21,2.749,17913
25,12,uncertain,24,1.1,17913
25,13,likely,42,3.149,17913
25,14,frequent,59,1.704,17913
25,15,improbable,84,2.82,17913
25,16,unknown,27,3.34,17913
25,17,ambiguous,27,2.035,17913
25,18,inevitable,100,1.983,17913
26,1,confident,10,12.882,17907
26,2,frequent,77,2.208,17907
26,3,unexpected,77,12.908,17907
26,4,improbable,81,15.782,17907
26,5,definite,100,7.718,17907
26,6,likely,50,16.85,17907
26,7,inevitable,100,4.877,17907
26,8,ambiguous,19,4.916,17907
26,9,predictable,95,5.592,17907
26,10,vague,74,3.593,17907
26,11,possible,51,9.78,17907
26,12,doubtful,15,14.415,17907
26,13,certain,21,2.451,17907
26,14,questionable,24,2.85,17907
26,15,risky,7,1.405,17907
26,16,erratic,71,4.184,17907
26,17,unknown,100,3.367,17907
26,18,uncertain,20,1.797,17907
27,1,uncertain,83,5.355,17741
27,2,improbable,81,3.04,17741
27,3,frequent,75,2.615,17741
27,4,definite,81,3.332,17741
27,5,unexpected,94,2.427,17741
27,6,doubtful,49,3.336,17741
27,7,unknown,85,2.942,17741
27,8,inevitable,92,3.376,17741
27,9,predictable,60,3.452,17741
27,10,questionable,43,6.469,17741
27,11,possible,51,3.424,17741
27,12,erratic,72,4.179,17741
27,13,confident,8,3.105,17741
27,14,risky,50,4.646,17741
27,15,certain,74,2.838,17741
27,16,vague,83,2.68,17741
27,17,likely,81,2.399,17741
27,18,ambiguous,89,2.334,17741
28,1,unexpected,85,23.18,17960
28,2,doubtful,60,11.01,17960
28,3,inevitable,97,4.853,17960
28,4,confident,10,5.951,17960
28,5,improbable,60,6.377,17960
28,6,erratic,90,21.338,17960
28,7,uncertain,9,4.692,17960
28,8,likely,85,6.204,17960
28,9,questionable,60,10.127,17960
28,10,ambiguous,49,8.779,17960
28,11,possible,49,12.377,17960
28,12,definite,95,6.078,17960
28,13,unknown,92,8.106,17960
28,14,risky,65,7.912,17960
28,15,certain,80,5.831,17960
28,16,predictable,60,4.712,17960
28,17,vague,90,5.106,17960
28,18,frequent,98,5.465,17960
30,1,unexpected,90,8.005,17890
30,2,unknown,29,4.462,17890
30,3,improbable,86,4.387,17890
30,4,certain,58,2.529,17890
30,5,definite,66,2.758,17890
30,6,uncertain,59,3.516,17890
30,7,frequent,39,3.278,17890
30,8,doubtful,25,2.373,17890
30,9,questionable,32,2.268,17890
30,10,predictable,99,3.387,17890
30,11,ambiguous,7,3.597,17890
30,12,confident,12,2.442,17890
30,13,possible,100,3.337,17890
30,14,erratic,86,2.391,17890
30,15,inevitable,100,2.222,17890
30,16,likely,79,2.476,17890
30,17,vague,63,3.93,17890
30,18,risky,32,3.013,17890
31,1,confident,0,9.881,17773
31,2,vague,0,2.782,17773
31,3,risky,82,9.76,17773
31,4,certain,0,2.6,17773
31,5,frequent,60,13.4,17773
31,6,ambiguous,50,4.328,17773
31,7,likely,91,14.043,17773
31,8,erratic,10,14.128,17773
31,9,uncertain,50,5.112,17773
31,10,unknown,50,3.177,17773
31,11,inevitable,76,39.599,17773
31,12,unexpected,69,18.244,17773
31,13,doubtful,29,43.361,17773
31,14,improbable,100,13.335,17773
31,15,possible,50,7.276,17773
31,16,predictable,0,3.87,17773
31,17,definite,0,3.264,17773
31,18,questionable,24,11.232,17773
