sub,participant_id,meadows_id,darm_check,in_ex_check,bonus_check_1,bonus_check_2,mean_ius_total,mean_ius_prospect_anxiety,mean_ius_inhibit_anxiety,iq_ravens,age,sex
1,5f0a5a99dbbf721316f118e2,modern-wren,passed,passed,passed,passed,1.851851851851852,2,2.4,0.7777777777777778,24,Female
2,5e58b3e415b8d40b5e1dabf1,calm-asp,passed,passed,passed,failed,2.111111111111111,2.7142857142857144,2.2,0.3333333333333333,22,Male
3,55b8d0bffdf99b0f2859fe73,more-bass,passed,passed,passed,passed,1.4444444444444444,1.7142857142857142,1.6,0.8888888888888888,40,Male
4,5cd08e2ff59e0a0013563602,light-bedbug,passed,passed,passed,passed,1.6296296296296295,1.5714285714285714,1.8,0.6666666666666666,33,Male
5,5d1355386ea950001a4fd4fe,suited-fish,passed,passed,passed,passed,2.5185185185185186,2.857142857142857,3.2,0.7777777777777778,34,Female
6,55902406fdf99b3f7aada447,quick-akita,passed,passed,passed,passed,2.962962962962963,2.7142857142857144,3.2,0.7777777777777778,43,Male
7,5e29e44fd7d15a000d1a548d,warm-lizard,passed,passed,passed,passed,2.185185185185185,2.7142857142857144,2.8,0.6666666666666666,39,Female
8,5f60fa0a0543ce036fa68ba0,busy-toucan,passed,passed,passed,passed,1.5555555555555556,2,2,0.6666666666666666,62,Female
10,5f9395079a03a117ce39c9ae,known-rhino,passed,passed,passed,passed,2.185185185185185,2.2857142857142856,2.6,0.8888888888888888,26,Female
13,5e55d68e53ecf15d91da06e1,united-tuna,passed,passed,passed,passed,2.3333333333333335,2.2857142857142856,2.6,0.8888888888888888,30,Male
16,6048622d518a190008dfbe38,actual-flea,passed,passed,passed,passed,3.074074074074074,2.857142857142857,3.4,0.1111111111111111,24,Male
17,5fdd5fc0eac8ab3d665e60a2,modest-fowl,passed,passed,passed,passed,1.851851851851852,2.2857142857142856,2,0.7777777777777778,27,Female
18,602348484d326a1c5aa80bb7,rapid-monkey,passed,passed,passed,passed,3.185185185185185,2.7142857142857144,3.4,0.7777777777777778,36,Female
21,5c5dce37fac6510001534800,choice-ox,passed,passed,passed,passed,2.3703703703703702,2.7142857142857144,2.4,0.8888888888888888,39,Female
22,5f3d6975ef131710ed519c7a,nice-foal,passed,passed,failed,failed,2.2222222222222223,2.142857142857143,2.2,0.1111111111111111,32,Male
23,5c71a951d30a7c0001729541,tender-martin,passed,passed,passed,passed,2,2,2.4,0.6666666666666666,22,Female
24,5fa4f94e535f3b1aa628e0ab,handy-snail,passed,passed,passed,passed,2.259259259259259,2.4285714285714284,2.8,0.7777777777777778,27,Male
26,6042f8fc661140286f958375,easy-elk,passed,passed,passed,passed,2.888888888888889,2.857142857142857,3.2,0.6666666666666666,26,Male
27,607c90a4d015734b70f02df6,apt-goose,passed,failed,passed,passed,3.185185185185185,2.857142857142857,3.4,0.8888888888888888,29,Female
28,56ad40ce5ea7aa000cbe1947,smart-skunk,passed,passed,passed,passed,1.9259259259259256,2.5714285714285716,2.2,1,52,Male
29,5d206e075278fa001848134d,bright-wombat,passed,passed,failed,failed,4,4.714285714285714,4,0.7777777777777778,20,Female
32,607dd6f5c5c64b4c2fb5609f,sharp-beetle,passed,passed,passed,passed,2.8518518518518516,3.4285714285714284,3.4,0.2222222222222222,25,Male
33,5f9f447ba1b196589d8529d7,pretty-tomcat,passed,passed,passed,failed,3.037037037037037,3,3.2,0.5555555555555556,20,Female
34,6070cdd492467b76ce67abab,neat-vervet,passed,passed,failed,failed,1.5185185185185186,1.7142857142857142,1.8,0.5555555555555556,20,Female
35,5c935d881754ba001b25697a,caring-duck,passed,passed,passed,passed,3.259259259259259,2.857142857142857,3.4,0.7777777777777778,36,Female
36,5f17553ce0feb10c3dd2b16a,pet-gecko,passed,passed,passed,passed,1.4444444444444444,1.4285714285714286,2.2,0.6666666666666666,49,Female
37,6060cc2bf9ba38d90b1a6f12,united-bream,passed,passed,passed,passed,3.5185185185185186,3.5714285714285716,3.4,0.7777777777777778,18,Male
38,5f10fcf462348245c345ae21,tight-alpaca,passed,passed,passed,passed,3.259259259259259,3.142857142857143,4,0.6666666666666666,20,Female
39,575a0b3033577a00060af29a,ample-ox,passed,passed,passed,passed,2.111111111111111,2.5714285714285716,2.4,0.5555555555555556,26,Male
40,5b8da69371a43f000184a352,smart-kitten,passed,passed,passed,passed,2.037037037037037,2.7142857142857144,2.8,0.6666666666666666,NA,Female
41,606c9b3e47b81432f306f5b1,up-llama,passed,failed,passed,passed,4.62962962962963,4.571428571428571,5,0.5555555555555556,NA,Prefer not to say
42,5f85b31f696fed0562f9386a,rich-snipe,passed,passed,passed,passed,2.5185185185185186,2.2857142857142856,3.2,0.6666666666666666,28,Male
44,5ea8071eefba051fb86923d1,tidy-wasp,passed,passed,passed,passed,2.3703703703703702,2.2857142857142856,2.4,0.3333333333333333,46,Male
45,5858c6178604ae000165e66a,casual-mayfly,passed,passed,passed,passed,2.962962962962963,3.5714285714285716,3.2,0.3333333333333333,44,Male
46,5ed12a6ca36442041a845ebc,loyal-man,passed,passed,passed,passed,2.2222222222222223,2.2857142857142856,2.8,0.6666666666666666,74,Male
48,5f5046b65bd4a21aab7422cd,active-ox,passed,passed,passed,passed,2,2.4285714285714284,2,0.8888888888888888,23,Female
49,5c736156fc80140001ebe6ee,better-mole,passed,passed,passed,passed,1.9259259259259256,1.8571428571428572,1.8,0.8888888888888888,21,Male
50,5e2732d4bdc76695ac4c785d,hot-skunk,passed,passed,passed,passed,1.3333333333333333,1.4285714285714286,1.4,0.7777777777777778,20,Female
51,5ef428a45311db1c83d82b34,exotic-owl,passed,passed,passed,passed,3.6296296296296298,3.857142857142857,3.8,0.5555555555555556,19,Female
52,5a2adf6a8e00a000019864fb,clean-tick,passed,passed,passed,passed,1.8148148148148149,2.2857142857142856,2,0.8888888888888888,37,Male
54,574ce0a57fd0ec000db73aa6,better-gator,passed,passed,passed,passed,4,3.857142857142857,4.2,0.6666666666666666,70,Female
55,5d3268a52b53a200195ebc30,guided-bedbug,passed,passed,passed,passed,1.1851851851851851,1.1428571428571428,1,0.7777777777777778,58,Female
56,60143e863bdebe3e617a6ebd,driven-boa,passed,passed,passed,passed,2.2962962962962963,2.2857142857142856,2.4,0.8888888888888888,33,Female
57,5c03448ca33dc3000159e4ba,moral-serval,passed,passed,passed,passed,3.851851851851851,3.5714285714285716,4.4,0.6666666666666666,27,Female
59,5eddb645b663bdac63a4e197,wired-ibex,passed,passed,passed,passed,1.148148148148148,1.2857142857142858,1.4,0.7777777777777778,46,Female
60,5f18ce0eb95e060fcd1c7d37,fleet-dog,passed,passed,passed,passed,2.037037037037037,2.142857142857143,2.2,0.8888888888888888,43,Female
61,5abd2b4fe734400001d9ee98,next-satyr,passed,passed,passed,passed,1.6666666666666667,1.8571428571428572,2.2,0.6666666666666666,34,Female
62,603ef40eb54e6c04b713ae6a,game-swift,passed,passed,passed,passed,2.4814814814814814,2.2857142857142856,2.6,0.4444444444444444,21,Male
63,59d6c710cfaf7400016113a1,united-yeti,passed,passed,passed,passed,4.407407407407407,4.571428571428571,4.6,0.8888888888888888,29,Female
66,5dceb9be381b67000e061142,sunny-sheep,passed,passed,passed,passed,1.5555555555555556,1.7142857142857142,1.2,0.6666666666666666,64,Female
67,5d5a2bd93296320016eee507,funny-moth,passed,passed,passed,passed,1.5925925925925926,1.4285714285714286,1.2,0.4444444444444444,35,Male
68,60791f00cc0f9a291c431a8b,gentle-amoeba,passed,passed,passed,passed,1.5925925925925926,1.7142857142857142,2.4,0.5555555555555556,39,Female
70,6074c5b00a4ca6196f876aa1,safe-pika,passed,passed,passed,passed,3.6296296296296298,3.7142857142857144,3.6,0.7777777777777778,24,Male
71,5fb219d125498577f2aa3a6d,joint-oyster,passed,passed,passed,passed,2.185185185185185,2.7142857142857144,3,0.6666666666666666,41,Female
73,5e73f5e1b43d0202ea7de7ef,legal-colt,passed,passed,passed,passed,1.8148148148148149,2.2857142857142856,1.8,1,45,Female
74,5fe0d610dd8cf1a331961cbe,brief-rat,passed,failed,passed,passed,3.4444444444444446,3.5714285714285716,3.4,1,36,Female
75,604ae23075cb7165f9730564,suited-ibex,passed,passed,failed,failed,1.962962962962963,2,2,0.6666666666666666,49,Male
76,604ebb2d7c463735958b815c,wanted-serval,passed,passed,failed,failed,1.1851851851851851,1,1,0.4444444444444444,37,Male
77,5f2dc4be9719bd0f8a6ce15c,useful-oyster,passed,passed,failed,failed,3.5555555555555554,3,3.8,0.7777777777777778,20,Female
78,602e82e6c266c0a2d4f0b435,humble-oriole,passed,passed,passed,passed,4.296296296296297,4.714285714285714,4.6,0.7777777777777778,24,Female
80,5f00e55a0b6653224c1946b0,real-emu,passed,passed,failed,failed,3.407407407407407,3.5714285714285716,3.4,0.6666666666666666,31,Male
81,5d2f46f4c30834001aeb5abc,firm-impala,passed,passed,passed,passed,2.1481481481481484,2.5714285714285716,2,0.7777777777777778,37,Male
82,571c09046b08940011631a7f,saving-guppy,passed,passed,failed,failed,2.185185185185185,2.5714285714285716,2.2,0.2222222222222222,80,Male
83,5ce0223c6578cf00191ee63f,casual-dodo,passed,passed,passed,passed,2.037037037037037,1.8571428571428572,2.2,0.7777777777777778,22,Female
84,5df11e6cdc85350234932daa,decent-amoeba,passed,passed,failed,failed,1.7407407407407407,1.7142857142857142,2,0.8888888888888888,37,Female
85,5c095f832570ea0001642474,open-rodent,passed,passed,passed,passed,1.4074074074074074,1.5714285714285714,1.6,0.7777777777777778,41,Female
86,5d6f332829c25100188a4a27,ideal-fox,passed,failed,failed,failed,3,3.4285714285714284,3,0.1111111111111111,26,Male
87,6073d1dba949ada27b8c7f1c,super-llama,passed,passed,failed,failed,3.925925925925926,3.7142857142857144,3.8,0.8888888888888888,39,Male
92,604c4c3e84c314febfbc089a,tender-oriole,passed,passed,passed,passed,4.111111111111111,3.7142857142857144,4,0.6666666666666666,20,Female
93,5ddf84eece1ce6effc504c35,funny-cow,passed,passed,passed,passed,3,2.857142857142857,3.8,0.7777777777777778,38,Female
94,5cf1f85389db9a0017aa4a42,huge-moray,passed,passed,passed,passed,3.851851851851851,3.4285714285714284,4.4,0.6666666666666666,21,Female
95,6067d1d927cabe05ce97be47,bold-owl,passed,passed,passed,failed,2.5185185185185186,2.4285714285714284,2.4,0.8888888888888888,31,Female
97,605fdb3d6e5f793b3e407d73,in-kiwi,passed,passed,failed,failed,2.3703703703703702,2.857142857142857,3.4,0.1111111111111111,43,Female
98,60185121c694790aa6520236,many-falcon,passed,passed,passed,passed,2.592592592592593,2.5714285714285716,2.4,0.4444444444444444,42,Female
99,5ba286e8821f7600011d09f2,divine-ant,passed,passed,passed,passed,2.111111111111111,2.2857142857142856,2.6,0.7777777777777778,61,Female
100,607464c11049e37c61224a6b,fleet-collie,passed,passed,passed,passed,3.6296296296296298,3.4285714285714284,3.6,0.5555555555555556,18,Male
101,5e1d70edd727e90dea42d137,modern-minnow,passed,passed,failed,passed,3.3703703703703702,3.2857142857142856,3.4,0.8888888888888888,20,Female
102,5f35d62a75f2fb61037161c6,chief-tomcat,passed,passed,passed,passed,2.4444444444444446,2.7142857142857144,3,0.7777777777777778,35,Female
103,5f40f1a20f691d2491077a83,grand-collie,passed,passed,passed,passed,2.1481481481481484,2.7142857142857144,2.8,0.5555555555555556,35,Male
104,5dcecc2d1986eb01a449f4e4,true-gnat,passed,passed,failed,failed,2.2962962962962963,1.8571428571428572,3,0.2222222222222222,48,Female
107,5f4c6bee4aac5777aa9fc9cf,simple-kid,passed,passed,passed,passed,3.185185185185185,3.4285714285714284,3.4,0.8888888888888888,19,Female
108,6067bb6b636bbd4b59a73491,well-glider,passed,passed,passed,passed,2.962962962962963,3,3.8,0.8888888888888888,22,Male
109,5f00343e03e3291311144488,bright-glider,passed,failed,passed,passed,4.074074074074074,4.428571428571429,3.8,0.8888888888888888,27,Male
110,5b2bfb37163ead00013fb8b4,key-eagle,passed,passed,passed,passed,1.3333333333333333,1.5714285714285714,1.6,0.8888888888888888,56,Female
112,5eed15f236728e11ea5fabd8,hardy-lab,passed,passed,passed,passed,2.592592592592593,2.857142857142857,2.4,0.7777777777777778,20,Male
114,59ba2a6e6495ef00019fbd70,fair-kit,passed,passed,passed,passed,2.259259259259259,2.142857142857143,2.6,0.3333333333333333,55,Male
115,5fbcba5a9b4bfe18cd49abea,valid-doe,passed,passed,passed,passed,4.666666666666667,4.428571428571429,5,0.5555555555555556,46,Female
116,5e264669d9ab6089713dc62f,apt-mayfly,passed,passed,passed,passed,3.407407407407407,3.2857142857142856,3.6,0.4444444444444444,45,Female
117,5de0b69ba91be311cb773b0b,apt-glider,passed,passed,passed,passed,1.5185185185185186,1.4285714285714286,1.4,1,20,Male
118,5dda51f040460e9a0f5f6a70,moving-toucan,passed,passed,passed,passed,3.6666666666666665,3.7142857142857144,3.6,0.8888888888888888,19,Male
119,5f4a9fb6ab878a53133ff498,kind-beagle,passed,failed,failed,passed,3.888888888888889,3.5714285714285716,4.2,0.5555555555555556,56,Female
121,5dd3285739bca132e4786d37,bold-filly,passed,passed,passed,passed,3,3,3.2,0.5555555555555556,38,Male
122,6080dfca487d02eae68abfe5,bright-condor,passed,passed,failed,failed,3.1481481481481484,3.2857142857142856,3.4,0.8888888888888888,41,Female
123,5f49b1b57bb92a52524db1be,upward-worm,passed,passed,passed,passed,2.6666666666666665,2.857142857142857,3.2,0.8888888888888888,26,Male
124,56fb36ca34a0d3000b1a5701,fluent-quagga,passed,passed,failed,failed,2.2962962962962963,2.857142857142857,2.8,0.2222222222222222,55,Female
125,5f6fe97d8641835be70202bd,fresh-alien,passed,passed,failed,failed,1.2592592592592593,1.7142857142857142,1.4,0.2222222222222222,19,Female
126,5fff74158bb64d0c07a8377c,fine-grub,passed,passed,passed,passed,2.5555555555555554,2.4285714285714284,3.4,0.8888888888888888,42,Male
127,5d7a7aac3e57c00001442470,native-insect,passed,passed,passed,passed,1.4444444444444444,2,1,0.6666666666666666,45,Female
129,5ec1c41a1f98090e8c119332,sunny-racer,passed,passed,passed,passed,3.1481481481481484,2.857142857142857,3.4,0.5555555555555556,33,Male
130,603a60be9e00975cb2b561e0,sure-oryx,passed,passed,failed,failed,4.62962962962963,4.857142857142857,4.8,0.4444444444444444,30,Female
131,5fd6d4d010245e657cfdb02d,deep-mole,passed,passed,passed,passed,3.740740740740741,4,3.6,0.7777777777777778,26,Female
133,5dd7052c7fb58b000eb7c09f,tender-gannet,passed,passed,passed,passed,2.074074074074074,2.2857142857142856,2,0.4444444444444444,56,Male
135,5bc33aa0ff10920001327f4e,meet-mammal,passed,passed,passed,passed,4.148148148148148,5,4.4,0.5555555555555556,23,Female
136,6080f54b42dcabe9e1418fe3,more-kodiak,passed,passed,passed,passed,1.148148148148148,1.5714285714285714,1,0.4444444444444444,25,Female
137,5f173430b3d35306f47fe72e,upward-mink,passed,passed,passed,passed,3,3,3,0.8888888888888888,NA,Female
138,5699cf0625d9e9000db0c789,meet-dassie,passed,passed,passed,passed,3.814814814814815,4,4,1,57,Female
139,5e07e9301d6b46148c904a0e,moving-beetle,passed,passed,passed,passed,3.2222222222222223,3.2857142857142856,3.2,0.5555555555555556,31,Male
140,5c284ae48e845b0001fc40aa,hardy-ibex,passed,passed,passed,passed,1.6296296296296295,2,2.2,0.7777777777777778,36,Male
141,578e8bd7baec1b00016977c1,alive-insect,passed,passed,passed,passed,2.037037037037037,2.142857142857143,2.2,0.6666666666666666,27,Female
143,5f6f55da763b074d027001f6,wise-fly,passed,passed,passed,passed,1.851851851851852,1.7142857142857142,2,0.7777777777777778,25,Female
145,5e8d44819163b611f62d706c,new-bear,passed,passed,failed,failed,2.3703703703703702,2.5714285714285716,2.8,0.6666666666666666,29,Female
146,5ff1e7e39f4b9e67a53f893a,alert-orca,passed,passed,failed,failed,5,5,5,0.4444444444444444,31,Female
148,5d88031edc2912001a7fe695,still-shrew,passed,passed,passed,failed,3.814814814814815,3.4285714285714284,4.2,0.4444444444444444,29,Female
149,5fb5611ae70d1603f68b026a,decent-oryx,passed,passed,passed,passed,3,2.5714285714285716,3.6,0.6666666666666666,31,Prefer not to say
150,59f226a9d6380600018b2923,tight-moray,passed,passed,passed,passed,1.5555555555555556,1.5714285714285714,1.4,0.4444444444444444,57,Female
151,6026d1eca0c0d1400dcfbbd6,merry-earwig,passed,passed,passed,passed,3.185185185185185,2.7142857142857144,3,0.7777777777777778,22,Female
152,5f8f93890e27442145f68542,safe-cod,passed,passed,passed,passed,1.3333333333333333,1.1428571428571428,1.6,0.6666666666666666,32,Female
153,608c8a30f56774708f1481d1,saving-spider,passed,passed,passed,passed,2.8518518518518516,2.4285714285714284,2.6,0.6666666666666666,31,Female
154,6095e4f37b49956d05961a4b,sought-pony,passed,passed,passed,passed,2.888888888888889,2.5714285714285716,3.4,0.6666666666666666,33,Male
156,5bcded8f2d94a8000133e068,easy-hippo,passed,failed,passed,passed,1.9259259259259256,2,3,0.2222222222222222,63,Female
157,5cfeea9c4954fe00165895e0,choice-piglet,passed,passed,passed,passed,2.111111111111111,2.2857142857142856,2.6,0.8888888888888888,51,Male
158,5c5297ba1841c80001393988,fluent-civet,passed,passed,passed,passed,4.62962962962963,4.142857142857143,5,0.6666666666666666,27,Male
159,5a84f454ae9a0b0001a9e4e5,mint-buck,passed,passed,passed,passed,2.2222222222222223,2.5714285714285716,2.4,0.6666666666666666,45,Male
160,5c2fcd716ea6880001dc8e3d,game-mutt,passed,failed,failed,failed,3.3703703703703702,3.2857142857142856,3.4,0.2222222222222222,57,Female
161,5b27e5d6878ec200017b1040,true-glider,passed,passed,passed,passed,2.2222222222222223,2.2857142857142856,3.2,0.7777777777777778,34,Male
162,596bac33670f410001fe9c07,wired-drum,passed,passed,passed,passed,3.259259259259259,3.142857142857143,4,0.5555555555555556,28,Female
163,607897a566b792397d974201,clever-dog,passed,passed,passed,passed,2.2222222222222223,3.142857142857143,2.2,0.8888888888888888,51,Female
165,5e3df34cfb9ed506f1028bb5,vital-chow,passed,passed,passed,passed,1.1111111111111112,1,1.6,0.6666666666666666,40,Male
166,6094b54170dd8416e340d341,sweet-cattle,passed,failed,failed,failed,2.2222222222222223,2.4285714285714284,2.2,0.1111111111111111,35,Male
168,5c79bc94d454af00160e2eee,glad-rat,passed,failed,passed,passed,3.888888888888889,3.142857142857143,4,0.5555555555555556,29,Female
169,59d8ae913e5ea00001e1d05f,daring-tapir,passed,passed,passed,passed,1.5925925925925926,1.5714285714285714,1.8,0.5555555555555556,32,Male
170,60380b18ecb86c10208619b8,glad-rhino,passed,passed,passed,passed,3.037037037037037,3.142857142857143,3.2,0.7777777777777778,33,Male
171,6081c7fad2189ac689140ee7,above-tapir,passed,passed,failed,failed,3.4444444444444446,3.4285714285714284,3.6,0.7777777777777778,18,Male
174,5f8f95862a4ed820d9b071ac,liked-mink,passed,passed,passed,passed,1.7407407407407407,1.4285714285714286,1.8,0.3333333333333333,31,Female
175,5e5e8fa0610185000bd86d8a,living-pup,passed,passed,passed,passed,2.6666666666666665,2.5714285714285716,3,0.6666666666666666,42,Female
